disease,medicine_name,rank,effectiveness_score,description,dosage,warnings,safety_profile
Flu,Oseltamivir (Tamiflu),1,0.92,Antiviral drug that reduces severity and duration of flu symptoms.,75mg twice daily for 5 days,May cause nausea; take with food.,High
Flu,Ibuprofen,2,0.82,"NSAID for relieving fever, body ache, and inflammation.",400mg every 6–8 hours,Avoid on empty stomach; not for kidney patients.,Moderate
Flu,Acetaminophen (Paracetamol),3,0.79,Analgesic for fever and mild pain relief.,500–1000mg every 4–6 hours,Do not exceed 4g/day; avoid alcohol.,High
Common Cold,Cetirizine,1,0.8,Antihistamine to reduce runny nose and sneezing.,10mg once daily,May cause drowsiness.,High
Common Cold,Pseudoephedrine,2,0.77,Nasal decongestant for congestion relief.,60mg every 4–6 hours,Avoid if hypertensive; may cause insomnia.,Moderate
Common Cold,Dextromethorphan,3,0.72,Cough suppressant for dry cough.,15–30mg every 4 hours,Do not use with MAO inhibitors.,Moderate
COVID-19,Nirmatrelvir/Ritonavir (Paxlovid),1,0.89,Antiviral protease inhibitor for high-risk COVID-19 patients.,300mg nirmatrelvir + 100mg ritonavir twice daily for 5 days,Multiple drug interactions; consult physician.,Moderate
COVID-19,Dexamethasone,2,0.85,Corticosteroid that reduces inflammation in severe COVID-19.,6mg once daily for up to 10 days,For hospitalised patients on oxygen only.,Moderate
COVID-19,Remdesivir,3,0.78,IV antiviral for hospitalised COVID-19 patients.,"200mg IV on day 1, then 100mg IV daily for 4 days",Monitor liver enzymes; hospital use only.,Moderate
Pneumonia,Amoxicillin,1,0.88,First-line antibiotic for community-acquired pneumonia.,500mg–1g three times daily for 7–10 days,Check for penicillin allergy.,High
Pneumonia,Azithromycin,2,0.84,Macrolide antibiotic effective against atypical pneumonia.,"500mg on day 1, then 250mg daily for 4 days",QT prolongation risk; monitor cardiac patients.,High
Pneumonia,Levofloxacin,3,0.82,Fluoroquinolone for resistant pneumonia cases.,750mg once daily for 5 days,Avoid in children; tendon rupture risk.,Moderate
Diabetes,Metformin,1,0.91,First-line oral antidiabetic to lower blood glucose.,500–1000mg twice daily with meals,Avoid in renal impairment; may cause GI upset.,High
Diabetes,Glipizide,2,0.82,Sulfonylurea that stimulates insulin secretion.,5–20mg once daily before breakfast,Risk of hypoglycaemia; monitor blood sugar.,Moderate
